Row number,CIID,Chemical Name,Recipe,CAS Number ,Supplier,Product # (link to item),lot #,container #,amount,"amount, kg",unit, location,"est amount remaining 
(June 30, 2023)",pdfs of SDS (as of Jan 2025) (SDS must be updated every 3 years) ,UN Number,Class,Packing Group,GHS Flammable liquid category,Supplier SDS link (SDS should update as suppliers update),est amount remaining (Jun 2024),Expiry Date,date consumed,COA or other notes,,State (based on CoA SDS info (section 3 or 9) if available)),colour (based on CoA or SDS info (section 9) if available)),MolecularWeight,density,,TOXIC ORAL,TOXIC DERMAL,TOXIC INHALATION,SKIN CORROSION / IRRITATION,SERIOUS EYE DAMAGE/EYE IRRITATION,RESPIRATORY SENSITIZATION,SKIN SENSITIZATION,GERM CELL MUTAGENICITY,CARCINOGENICITY,REPRODUCTIVE TOXICITY,SPECIFIC TARGET ORGAN TOXICITY SINGLE EXPOSURE,SPECIFIC TARGET ORGAN TOXICITY REPEATED EXPOSURE,ASPIRATION HAZARD,Health hazard not otherwise classified,FLAMMABLE LIQUIDS,FLAMMABLE SOLIDS,Self-reactive substances and mixtures,CORROSIVE TO METALS,SELF-HEATING SUBSTANCES AND MIXTURE,OXIDIZING  LIQUIDS,OXIDIZING SOLIDS,COMBUSTIBLE DUSTS,Fire or projection hazard,Physical Hazards Not Otherwise Classified,Short-term (acute) aquatic hazard ,Long-term (chronic) aquatic hazard 
207,643,cerium (IV) oxide,"99.99%, nanopowder dispersed in ethanol, 20 wt%, 10 nm","contains 64-17-5, 1306-38-3","US Research Nanomaterials, Inc.",US3037 (E),not provided,,120 mL,0.12,kg,FC1; dispersions,"received after June 30, 2023",Cerium Oxide (CeO2) ethanol dispersion_US Research Nanomaterials_SDS_revised Feb 2023,UN1170,3,II,NFPA Rating Fire Hazard: 3,"US Research Nanomaterials_US3037_Cerium Oxide Nanoparticles/Nanopowder 20wt% ethanol Dispersion (CeO2, 99.99%, 10 nm), ceria nanoparticles",,,,,,liquid ,colourless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,644,isobutylene,0.0001-0.9% in Air,,NorCo/NorLab,J10551830PA,3-208-60,,103L-3.6CuFt-1000psig,103,kg,,"recieved after June 30, 2023",isobutylene in air (0.0001% to 0.9% Isobutylene in Air)_NorCo NorLab_SDS_revised July 2018_recieved Aug 2023,UN1956,2.2,n/a,,,,,,,,gas,colourless,56.107,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
869,645,carbon nanotubes,single-walled,"contains 308068-56-6, 7782-42-5, 7740-44-0, 99685-96-8","US Research Nanomaterials, Inc.",US4110,not provided,,1 g,0.001,kg,FC1,"recieved after June 30, 2023","Single-Walled Carbon Nanotubes (SWCNTs), 90%_US Research Nanomaterials_SDS_revised Nov 2022",Not dangerous goods,n/a,n/a,,"US Research Nanomaterials_US4110_Single-Walled Carbon Nanotubes, 90%",,,,,,solid , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1097,646,zero air,20.9% oxygen in nitrogen,"contains 7727-37-9 7, 7782-44-7",Norco / NorLab,J107220.9VHC,3-195-83,,103L - 3.6 CuFt - 1000psig,103,kg,,"received after June 30th, 2023",Zero Air (20.9% Oxygen in Nitrogen)_Norco NorcLab_SDS_revised May 2015_received Aug 2023,UN1002,2.2,n/a,,,,,,,,gas,colorless,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,647,TPU film conductive,NovoIonic 201510,,NovoGenio,FLMNVI201510,F0916B2/1/3,,20 m2,,,dry room + electrolyte enclosure,"received after June 30, 2023",,,,,,,,,,,, , ,,,,,,,2,2A,,,,,,,,,,,,,,,,,,,,,
722,648,TPU film conductive,NovoIonic 201510,,NovoGenio,FLMNVI202510,F0916B3/1/1,,10 m2,,,dry room + electrolyte enclosure,"received after June 30, 2023",,,,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
723,649,NovoGlass SF 1901,,,NovoGenio,FLMNVGSF1996,F0829B3/1/3/0/2,,41.04 m2,,,dry room + electrolyte enclosure,"received after June 30, 2023",,,,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
467,650,lithium bis(oxalato)borate,battery grade,244761-29-3,Albemarle,408507 or 10000299,2101023185,,1 kg,1,kg,glovebox,"recieved after June 30, 2023",lithium bis-(oxalato)borate advanced battery grade_Albemarle_SDS_revised June 2020,Not dangerous goods,n/a,n/a,,,,,,,,solid (fine powder),colourless,193.79,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,651,dimethyl sulfoxide-d6,99.9%-D,2206-27-1,"Cambridge Isotope Laboratories, INc/ACP Chemicals",DLM-10-50,PR-34137/03033DM1,,50 g,0.05,kg,glovebox,"Recieved after June 30, 2023","Dimethyl Sulfoxide-d6_Cambridge Isotopes Laboratories, Inc_SDS_revised July 2023",Not dangerous goods,n/a,n/a,,"Cambridge Isotopes Laboratories, Inc_DLM-10-50_Dimethyl sulfoxide-d6",,,,,,liquid,very pale yellow,84.17,1.1,,3,3,3,,,,,,,,1,,,,,,,,,,,,,,,
59,652,2-methyl-2-([(dodecylsulanylthiocarbonyl)sulfanyl]propanoic acid,,461642-78-4,Combi-Blocks,QH-6550,C28294,,1 g,0.001,kg,glovebox,"recieved after June 30, 2023",2-methyl-2-([(dodecylsulanylthiocarbonyl)sulfanyl]propanoic acid_CombiBlocks_SDS_revised Dec 2023,Not dangerous goods,n/a,n/a,n/a,Combi-Blocks_QH-6550_2-methyl-2-([(dodecylsulanylthiocarbonyl)sulfanyl]propanoic acid,,,,,,solid,"beige
",364.6,,,3,3,3,,,,,,,,1,1,,,2,,,,,,,,,,,
388,653,gadolinium (III) acetate hydrate,99.9%,100587-93-7,Thermo Fisher,89158-14 ,U15J022,,25 g,0.025,kg,glovebox,,"Gadolinium (III) acetate hydrate, 99.9%_ThermoFisher_SDS_revised March 2024",Not dangerous goods,n/a,n/a,,"Thermo Fisher_89158_Gadolinium (III) acetate hydrate, 99.9%",,,,,,solid (crystalline),white,334.39,1.611,,3,3,3,,,,,,,,1,,,,2,,,,,,,,,,,
27,654,"1,2-bis(trimethoxysilyl)ethane",96%,18406-41-2,ThermoFisher,H60850.AC,U05I004,,25 mL,0.026825,kg,glovebox,"recieved after June 30, 2023","1,2-Bis(trimethoxysilyl)ethane_Thermo_SDS_revised March 2024",UN2810,6.1,III,n/a,"Thermo Fisher_H60850_1,2-Bis(trimethoxysilyl)ethane",,,,,,liquid,colourless,270.43,1.073,,4,,,1B,1,,,,,1B,3,,,,,,,,,,,,,,,
574,655,4-(4-Nitrophenylazo)resorcinol,,74-39-5,TCI America,N0135-1G,AJ01-DM,,1 g,0.001,kg,FC1,"recieved after June 30, 2023",Magneson_TCI_SDS_revised May 2024,Not dangerous goods,n/a,n/a,,TCI_N0135_Magneson,,,,,,solid ,orange - red,259.22,,,4,,,1B,1,,,,,1B,3,,,,,,,,,,,,,,,
619,656,"N,N,N',N'-tetramethylethylenediamine",,110-18-9,TCI America,T0147-25mL,OVGWD-HD,,25 mL,0.025,kg,glovebox,"received after June 30, 2023","N,N,N',N'-Tetramethylethylenediamine_TCI_SDS_revised July 2018_received Aug 2023",UN2372,3,II,,"TCI_T0147_N,N,N',N'-Tetramethylethylenediamine",,,,,,liquid,colorless,116.21,,,4,,,1B,1,,,,,1B,3,,,,,,,,,,,,,,,
48,657,2-ethoxyethanol,99%,110-80-5,Sigma Aldrich,128082 - 1L,BCCJ1964,,1 L,0.93,kg,FC2,"recieved after June 30, 2023","2-ethoxyethanol reagentplus, 99%_Sigma_SDS_revised Aug 2023",UN1171,3,III,3,Sigma_128082_2-ethoxyethanol,,,,,,liquid,colourless,90.12,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,658,dimethyl carbonate,"anhydrous, 99%",616-38-6,Millipore Sigma,517127,SHBR7010,1,2 L,2.138,kg,buildbox,"Recieved after June 30, 2024","dimethyl carbonate, 99%, anhydrous_Sigma_SDS_revised Aug 2022",UN1161 ,3,II,2,"Sigma_517127_dimethyl carbonate, 99%, anhydrous",,,,,,liquid,colourless,90.08,1.069,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,659,boric acid,ACS reagent,10043-35-3,Sigma Aldrich,B0394-100G,SLQ2868,,100 g,0.1,kg,FC1,95%,Boric acid ACS Reagent_Sigma_SDS_revised Dec 2024,Not dangerous goods,n/a,n/a,n/a,Sigma_B0394_Boric acid ACS Reagent,,,,,,solid (crystalline),white,61.83,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,
786,660,polyvinylpyrrolidone,K90,9003-39-8,Sigma Aldrich,81440-250G,BCCH5580,,250 g,0.25,kg,FC1,"received after June 30, 2023","polyvinylpyrrolidone, K90_Sigma_SDS_revised March 2023",Not dangerous goods,n/a,n/a,,"Sigma_81440_polyvinylpyrrolidone, K90",,,,,,solid (powder) ,beige ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,661,hot melt sealant,3 lb cake,"contains 471-34-1, 9003-27-4, 8050-09-7, 69430-35-9, 115-77-5, 546-93-0, 7631-86-9, 1333-86-4",C.R. Laurence of Canada,CRL30703,,,3 lbs,1.363636364,kg,softwall clearoom,"Recieved after June 30, 2023",CRL hot melt butyl 3lb cakes_CRLaurence_SDS_revised Feb 2015 (received Sept 2023),Not dangerous goods,n/a,n/a,"NFPA rating=1, but flashpoint = 321°C",,,,,,,solid,black,,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,662,hot melt sealant,3 lb cake,"contains 471-34-1, 9003-27-4, 8050-09-7, 69430-35-9, 115-77-5, 546-93-0, 7631-86-9, 1333-86-4",C.R. Laurence of Canada,CRL30703,,,3 lbs,1.363636364,kg,softwall clearoom,"Recieved after June 30, 2023",CRL hot melt butyl 3lb cakes_CRLaurence_SDS_revised Feb 2015 (received Sept 2023),Not dangerous goods,n/a,n/a,"NFPA rating=1, but flashpoint = 321°C",,,,,,,solid,black,,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,663,hot melt sealant,3 lb cake,"contains 471-34-1, 9003-27-4, 8050-09-7, 69430-35-9, 115-77-5, 546-93-0, 7631-86-9, 1333-86-4",C.R. Laurence of Canada,CRL30703,,,3 lbs,1.363636364,kg,softwall clearoom,"Recieved after June 30, 2023",CRL hot melt butyl 3lb cakes_CRLaurence_SDS_revised Feb 2015 (received Sept 2023),Not dangerous goods,n/a,n/a,"NFPA rating=1, but flashpoint = 321°C",,,,,,,solid,black,,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,664,hot melt sealant,3 lb cake,"contains 471-34-1, 9003-27-4, 8050-09-7, 69430-35-9, 115-77-5, 546-93-0, 7631-86-9, 1333-86-4",C.R. Laurence of Canada,CRL30703,,,3 lbs,1.363636364,kg,softwall clearoom,"Recieved after June 30, 2023",CRL hot melt butyl 3lb cakes_CRLaurence_SDS_revised Feb 2015 (received Sept 2023),Not dangerous goods,n/a,n/a,"NFPA rating=1, but flashpoint = 321°C",,,,,,,solid,black,,1.18,,,,,,,,,,,,,,1,,,,,,,,,,,,,
239,665,hot melt sealant,3 lb cake,"contains 471-34-1, 9003-27-4, 8050-09-7, 69430-35-9, 115-77-5, 546-93-0, 7631-86-9, 1333-86-4",C.R. Laurence of Canada,CRL30703,,,3 lbs,1.363636364,kg,softwall clearoom,"Recieved after June 30, 2023",CRL hot melt butyl 3lb cakes_CRLaurence_SDS_revised Feb 2015 (received Sept 2023),Not dangerous goods,n/a,n/a,"NFPA rating=1, but flashpoint = 321°C",,,,,,,solid,black,,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,666,hot melt sealant,3 lb cake,"contains 471-34-1, 9003-27-4, 8050-09-7, 69430-35-9, 115-77-5, 546-93-0, 7631-86-9, 1333-86-4",C.R. Laurence of Canada,CRL30703,,,3 lbs,1.363636364,kg,softwall clearoom,"Recieved after June 30, 2023",CRL hot melt butyl 3lb cakes_CRLaurence_SDS_revised Feb 2015 (received Sept 2023),Not dangerous goods,n/a,n/a,"NFPA rating=1, but flashpoint = 321°C",,,,,,,solid,black,,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,667,hot melt sealant,3 lb cake,"contains 471-34-1, 9003-27-4, 8050-09-7, 69430-35-9, 115-77-5, 546-93-0, 7631-86-9, 1333-86-4",C.R. Laurence of Canada,CRL30703,,,3 lbs,1.363636364,kg,softwall clearoom,"Recieved after June 30, 2023",CRL hot melt butyl 3lb cakes_CRLaurence_SDS_revised Feb 2015 (received Sept 2023),Not dangerous goods,n/a,n/a,"NFPA rating=1, but flashpoint = 321°C",,,,,,,solid,black,,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,668,hot melt sealant,3 lb cake,"contains 471-34-1, 9003-27-4, 8050-09-7, 69430-35-9, 115-77-5, 546-93-0, 7631-86-9, 1333-86-4",C.R. Laurence of Canada,CRL30703,,,3 lbs,1.363636364,kg,softwall clearoom,"Recieved after June 30, 2023",CRL hot melt butyl 3lb cakes_CRLaurence_SDS_revised Feb 2015 (received Sept 2023),Not dangerous goods,n/a,n/a,"NFPA rating=1, but flashpoint = 321°C",,,,,,,solid,black,,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,669,hot melt sealant,3 lb cake,"contains 471-34-1, 9003-27-4, 8050-09-7, 69430-35-9, 115-77-5, 546-93-0, 7631-86-9, 1333-86-4",C.R. Laurence of Canada,CRL30703,,,3 lbs,1.363636364,kg,softwall clearoom,"Recieved after June 30, 2023",CRL hot melt butyl 3lb cakes_CRLaurence_SDS_revised Feb 2015 (received Sept 2023),Not dangerous goods,n/a,n/a,"NFPA rating=1, but flashpoint = 321°C",,,,,,,solid,black,,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,670,hot melt sealant,3 lb cake,"contains 471-34-1, 9003-27-4, 8050-09-7, 69430-35-9, 115-77-5, 546-93-0, 7631-86-9, 1333-86-4",C.R. Laurence of Canada,CRL30703,,,3 lbs,1.363636364,kg,softwall clearoom,"Recieved after June 30, 2023",CRL hot melt butyl 3lb cakes_CRLaurence_SDS_revised Feb 2015 (received Sept 2023),Not dangerous goods,n/a,n/a,"NFPA rating=1, but flashpoint = 321°C",,,,,,,solid,black,,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,671,hot melt sealant,3 lb cake,"contains 471-34-1, 9003-27-4, 8050-09-7, 69430-35-9, 115-77-5, 546-93-0, 7631-86-9, 1333-86-4",C.R. Laurence of Canada,CRL30703,,,3 lbs,1.363636364,kg,softwall clearoom,"Recieved after June 30, 2023",CRL hot melt butyl 3lb cakes_CRLaurence_SDS_revised Feb 2015 (received Sept 2023),Not dangerous goods,n/a,n/a,"NFPA rating=1, but flashpoint = 321°C",,,,,,,solid,black,,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,672,hot melt sealant,3 lb cake,"contains 471-34-1, 9003-27-4, 8050-09-7, 69430-35-9, 115-77-5, 546-93-0, 7631-86-9, 1333-86-4",C.R. Laurence of Canada,CRL30703,,,3 lbs,1.363636364,kg,softwall clearoom,"Recieved after June 30, 2023",CRL hot melt butyl 3lb cakes_CRLaurence_SDS_revised Feb 2015 (received Sept 2023),Not dangerous goods,n/a,n/a,"NFPA rating=1, but flashpoint = 321°C",,,,,,,solid,black,,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,673,hot melt sealant,3 lb cake,"contains 471-34-1, 9003-27-4, 8050-09-7, 69430-35-9, 115-77-5, 546-93-0, 7631-86-9, 1333-86-4",C.R. Laurence of Canada,CRL30703,,,3 lbs,1.363636364,kg,softwall clearoom,"Recieved after June 30, 2023",CRL hot melt butyl 3lb cakes_CRLaurence_SDS_revised Feb 2015 (received Sept 2023),Not dangerous goods,n/a,n/a,"NFPA rating=1, but flashpoint = 321°C",,,,,,,solid,black,,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,674,hot melt sealant,3 lb cake,"contains 471-34-1, 9003-27-4, 8050-09-7, 69430-35-9, 115-77-5, 546-93-0, 7631-86-9, 1333-86-4",C.R. Laurence of Canada,CRL30703,,,3 lbs,1.363636364,kg,softwall clearoom,"Recieved after June 30, 2023",CRL hot melt butyl 3lb cakes_CRLaurence_SDS_revised Feb 2015 (received Sept 2023),Not dangerous goods,n/a,n/a,"NFPA rating=1, but flashpoint = 321°C",,,,,,,solid,black,,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,675,hot melt sealant,3 lb cake,"contains 471-34-1, 9003-27-4, 8050-09-7, 69430-35-9, 115-77-5, 546-93-0, 7631-86-9, 1333-86-4",C.R. Laurence of Canada,CRL30703,,,3 lbs,1.363636364,kg,softwall clearoom,"Recieved after June 30, 2023",CRL hot melt butyl 3lb cakes_CRLaurence_SDS_revised Feb 2015 (received Sept 2023),Not dangerous goods,n/a,n/a,"NFPA rating=1, but flashpoint = 321°C",,,,,,,solid,black,,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,
804,676,proplyene carbonate,ultrapure,108-32-7,Huntsman International LLC,252730,H-2023-329-M14,,0.95 kg,0.95,kg,glovebox,100%,"Propylene Carbonate- EV, Ultrapure_Huntsman_SDS_revised Dec 2024",Not dangerous goods,n/a,n/a,n/a,available via Huntsman’s online service portal - don't currently have access,,,,,,liquid,colourless,102.09,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
805,677,proplyene carbonate,ultrapure,108-32-7,Huntsman International LLC,252730,H-2023-329-M15,,0.95 kg,0.95,kg,glovebox,100%,"Propylene Carbonate- EV, Ultrapure_Huntsman_SDS_revised Dec 2024",Not dangerous goods,n/a,n/a,n/a,available via Huntsman’s online service portal - don't currently have access,,,,,,liquid,colourless,102.09,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
806,678,proplyene carbonate,ultrapure,108-32-7,Huntsman International LLC,252730,H-2023-329-M16,,0.95 kg,0.95,kg,glovebox,100%,"Propylene Carbonate- EV, Ultrapure_Huntsman_SDS_revised Dec 2024",Not dangerous goods,n/a,n/a,n/a,available via Huntsman’s online service portal - don't currently have access,,,,,,liquid,colourless,102.09,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,679,hot melt sealant,3 lb cake,"contains 471-34-1, 9003-27-4, 8050-09-7, 69430-35-9, 115-77-5, 546-93-0, 7631-86-9, 1333-86-4",C.R. Laurence of Canada,CRL30704,,,4 lbs,1.818181818,kg,softwall clearoom,"Recieved after June 30, 2024",CRL hot melt butyl 3lb cakes_CRLaurence_SDS_revised Feb 2015 (received Sept 2023),Not dangerous goods,n/a,n/a,"NFPA rating=1, but flashpoint = 321°C",,,,,,,solid,black,,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,
838,680,molecular sieves,"4A beads, 4-8 mesh",70955-01-0,Sigma Aldrich,208590-1KG,MKCT6098,,1 kg,1,kg,black storage cabinet ,"recieved after June 30, 2023",Molecular Sieves_4A_Sigma_Revised Oct 2022,Not dangerous goods,n/a,n/a,,"Sigma_208590_sieves, molecular sieves, 4A beads",,,,,,solid (beads),beige,202.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1094,681,"1,3-dimethylimidazolidin-2-one",,80-73-9,Huntsman Corporation,XHE-123,9920-556,,0.99 kg,0.99,kg,glovebox + FC3,"received after June 30th, 2023",XHE-123_Huntsman_SDS_revised Sept 2023,Not dangerous goods,n/a,n/a,,,,,,,,liquid,,114.15,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,682,3-methyloxazolidin-2-one,e-grade,19836-78-3,Huntsman International LLC,E-GRADE MEOX,166080,,1.04 kg,1.04,kg,glovebox + FC3,"recieved after June 30, 2023",E-grade MEOX_Huntsman_SDS_revised Sept 2023,Not dangerous goods,n/a,n/a,,,,,,,,liquid ,light yellow,101.1,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,683,2-ethylhexanoic acid,,149-57-5,Sigma Aldrich,538701-100mL,MKCS0789,,100 mL,0.0903,kg,,"recieved after June 30, 2023",2-ethylhexanoic acid_Sigma_SDS_revised Oct 2023,Not dangerous goods,n/a,n/a,n/a,Sigma_538701_2-ethylhexanoic acid,,,,,,liquid,colourless,144.21,0.903,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,684,ethanol,"anhydrous, methanol, 2-propanol","64-17-5 (also contains 67-56-1
, 67-63-0)",Sigma Aldrich,277649,SHBQ4092,,100 mL,0.0785,kg,glovebox,"recieved after June 30, 2023","ethanol (reagent alcohol), anhydrous_Sigma_SDS_revised July 2024",UN1170 ,3,II,2,"Sigma_277649_Reagent Alcohol (Ethanol), anhydrous",,,,,,liquid,colourless,46.07,0.785,,,,,,,,,,,,,,,,,,,,,,,,,,,
791,685,potassium ethoxide,95%,917-58-8,Sigma Aldrich,333379-100G,SHBG1985V,,100g,0.1,kg,,"received after June 30, 2023","Potassium ethoxide, 95%_Sigma_SDS_revised September 2024",UN3206 ,4.2 (8),II,,Sigma_333379_Potassium ethoxide,,,,,,solid ,off white to yellow,84.16,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,
944,686,TPU film conductive,,"Contains 94-28-0, 108-32-7, 90076-65-6, other material",SWM,,"220209.005
220209.007
220209.008",,"1  sheet (10.0 mils thick)
1  sheet (15.4 mils thick)
1  sheet (14.5 mils thick)",,,electrolyte enclosure + glovebox,,ESTANE AG 8451 TPU (aliphatic polyutherane polymer)_Lubrizol_SDS_Revised June 2018 (checked July 2021),,,,,,,,,,,solid ,Clear ,,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,687,citric acid,"99.5%, ACS reagent",77-92-9,Sigma Aldrich,251275-100g,MKCR4662,,100g,0.1,kg,FC1,"Recieved after June 30, 2023",Citric Acid 99.5% ACS Reagant_Sigma_SDS_Revised March 2023,Not dangerous goods,n/a,n/a,n/a,Sigma_251275_Citric Acid 99.5% ,,,,,,Solid (crystalline),white,192.12,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,688,HL-5145-149,,"contains 1333-86-4, 14808-60-7",H.B. Fuller,100000001688,1917262,,1.25 kg,1.25,kg,black storage cabinet,"received after June 30, 2023",H.B. Fuller HL-5145-149_SDS_H.B. Fuller_Oct 2016 (checked Oct 2023),Not dangerous goods,n/a,n/a,,,,,,,,solid,black,,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,689,HelioSeal® PVS 101,,"contains 14807-96-6, 1333-86-4, 1305-78-8, 1309-48-4, 471-34-1, 546-93-0",HB Fuller,730813,1888634,,825g,0.825,kg,electrolyte enclosure,"received after June 30, 2023",Helioseal PVS 101_SDS_Royal Adhesives and Sealants_revised Nov 2018 (checked Oct 2023),Not dangerous goods,n/a,n/a,,,,,,,,solid,black,,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,690,lactic acid,,50-21-5,Sigma Aldrich,L6661-100ml,MKCR8955,,100ml,0.1209,kg,FC1,"received after June 30, 2023",Lactic Acid_SDS-Sigma Aldrich_Revised May 2024,Not dangerous goods,n/a,n/a,,Sigma_L6661_Lactic Acid,,,,,,liquid (viscous),colourless,90.08,1.209,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,691,BR-742S,,,Bomar,Bomar BR-742S,3834756,,1 kg,1,kg,store in FC2 before use --> glove box ,"received after June 30, 2023",Bomar BR-742S polyester urethane Acrylates_Dymax_SDS_revised May 2015 (check July 2021),Not dangerous goods,n/a,n/a,n/a,,,"Feb 15, 2024",,"BOMAR COA BR-742S Jan 15, 2024",,liquid (viscous),clear,,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,692,citric acid,"anhydrous, 99.5%, ACS reagent",77-92-9,ThermoFisher,36664.22,M25J018,,100 g,0.1,kg,glovebox,"Recieved after June 30, 2023","Citric Acid, anhydrous 99.5_ThermoFisher_SDS_Revised March 2024",Not dangerous goods,n/a,n/a,"nothing for flammable, but Combustible Dusts Category 1","ThermoFisher_36664_Citric Acid ACS, 99.5+%",,,,,,Solid (crystalline),white,192.12,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,693,ethylene glycol,,107-21-1,ThermoFisher,A11591.30,Z09H021,,250 g,0.25,kg,glovebox,"received after June 30, 2023",ethylene glycol_ThermoFisher_SDS_revised March 2024,Not dangerous goods,n/a,n/a,,ThermoFisher_A11591_Ethylene glycol,,,,,,liquid (viscous),colourless,62.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,694,benzophenone,99%,119-61-9,Sigma Aldrich,B9300-25G-A,BCCJ8388,,25 g,0.025,kg,glovebox,"received after June 30, 2023","Benzophone, reagentplus 99%_Sigma_SDS_revised March 2024",Not dangerous goods,n/a,n/a,n/a,Sigma_B9300_Benzophenone,,,,,,solid (flake),white,182.22,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,695,1-butanol,"anhydrous, 99.8%",71-36-3,Millipore Sigma,281549-1L,SHBR6340,2,1L,0.81,kg,FC2 or 5 before glovebox,"received after June 30, 2024",Butanol (1-butanol) anhydrous_Sigma_SDS_Dec 2024,UN1120,3,III,3,"Sigma_281549_butanol (1-butanol), 99.8%",,,,,,liquid,colourless,74.12,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,696,ethylenediaminetetraacetic acid,,60-00-4,Sigma,E9884-100G,BCCJ0200,,100 g,0.1,kg,FC1,"recieved after June 30, 2023",ethylenediaminetetraacetic acid ASC reagent_Sigma_SDS_revised May 2023,Not dangerous goods,n/a,n/a,,Sigma_E9884_ethylenediaminetetraacetic acid (EDTA),,,,,,liquid ,colourless,60.1,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
794,697,proplyene carbonate,"anhydrous, 99.7%",108-32-7,Sigma Aldrich,310328-2L,SHBP8887,,2L,2.378,kg,black storage cabinet 3rd floor until glovebox,"received after June 30, 2023",Propylene Carbonate 99.7% Anhydrous_Sigma_SDS_revised Aug 2023,Not dangerous goods,n/a,n/a,n/a,Sigma_310328_Propylene Carbonate 99.7% Anhydrous,,,,,,liquid,colourless,102.09,1.189,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,698,butyl acrylate,99%,141-32-2,Sigma Aldrich,234923-1L,STBL0338,,1 L,0.894,kg,FC 2 (some in gloveboox once opened),"received after June 30, 2023","butyl acrylate, >99%_Sigma_SDS_revised July 2023",UN2348 ,3,III,3,"Sigma_234923_butyl acrylate, >99%",,,,,,liquid,colourless,128.17,0.894,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,699,butyl acrylate,99%,141-32-2,Sigma Aldrich,234923-1L,STBL0338,,1 L,0.894,kg,FC 2 (some in gloveboox once opened),"received after June 30, 2023","butyl acrylate, >99%_Sigma_SDS_revised July 2023",UN2348 ,3,III,3,"Sigma_234923_butyl acrylate, >99%",,,,,,liquid,colourless,128.17,0.894,,,,,,,,,,,,,,,,,,,,,,,,,,,
627,700,nickel (II) 2-ethylhexanoate,78% in 2-ethylhexanoic acid,4454-16-4,Strem,93-2830,L00122102,3,250 g,0.25,kg,FC1; metal 2ethylhexanoates,"received after June 30, 2023",nickel (II) 2-ethylhexanoate_Strem_SDS _revised July 2021,Not dangerous goods,n/a,n/a,4,"Strem_93-2830_nickel (II) 2-ethylhexanoate (Ni(2eh)2), 78% in 2-ethylheanoic acid",,,,,,liquid (viscous),green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,701,2-(diethylamino)ethyl methacrylate,99%,105-16-8,Sigam Aldrich,408980-250ML,MKCH6355,,250 mL,0.25,kg,FC1/glovebox,"recieved after June 30, 2023",2-(diethylamino)ethyl methacrylate_Sigma_DS_revised April 2021,Not dangerous goods,n/a,n/a,4,Sigma_408980_2-(diethylamino)ethyl methacrylate,,,,,,liquid,colourless,185.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
